iter	Passed	Remaining
0	2	2531
1	4	2278
2	6	2200
3	8	2230
4	10	2164
5	13	2315
6	15	2218
7	17	2136
8	18	2073
9	20	2011
10	21	1955
11	23	1919
12	24	1891
13	26	1870
14	28	1856
15	30	1845
16	31	1825
17	33	1806
18	34	1795
19	36	1785
20	38	1771
21	39	1776
22	41	1782
23	44	1796
24	45	1788
25	47	1796
26	49	1795
27	51	1790
28	53	1792
29	55	1784
30	58	1821
31	60	1825
32	62	1822
33	64	1821
34	65	1816
35	67	1817
36	69	1814
37	71	1819
38	73	1813
39	76	1831
40	78	1829
41	80	1826
42	81	1818
43	83	1815
44	85	1811
45	87	1819
46	89	1815
47	91	1808
48	93	1807
49	95	1805
50	96	1803
51	100	1836
52	102	1829
53	104	1832
54	106	1824
55	108	1820
56	109	1816
57	111	1810
58	113	1807
59	115	1805
60	116	1800
61	119	1811
62	123	1831
63	124	1826
64	126	1823
65	128	1818
66	130	1814
67	132	1818
68	134	1817
69	136	1808
70	137	1802
71	139	1799
72	141	1794
73	143	1793
74	144	1787
75	146	1787
76	148	1785
77	150	1784
78	152	1782
79	154	1776
80	155	1767
81	157	1762
82	158	1751
83	160	1749
84	162	1748
85	164	1744
86	165	1741
87	167	1736
88	169	1734
89	171	1730
90	173	1728
91	176	1739
92	178	1736
93	179	1732
94	181	1730
95	183	1723
96	184	1721
97	186	1718
98	188	1715
99	191	1719
100	193	1724
101	195	1722
102	197	1718
103	199	1716
104	201	1713
105	202	1711
106	204	1708
107	207	1712
108	209	1716
109	211	1714
110	213	1711
111	215	1708
112	217	1709
113	219	1709
114	222	1709
115	223	1705
116	225	1698
117	227	1696
118	228	1695
119	231	1694
120	232	1690
121	234	1686
122	236	1684
123	238	1683
124	239	1679
125	241	1678
126	243	1673
127	245	1673
128	247	1670
129	249	1667
130	251	1666
131	252	1662
132	254	1660
133	256	1658
134	258	1655
135	259	1651
136	262	1656
137	265	1655
138	266	1652
139	268	1649
140	270	1647
141	271	1640
142	273	1639
143	276	1640
144	277	1638
145	279	1637
146	281	1635
147	283	1633
148	285	1631
149	287	1629
150	289	1625
151	291	1623
152	292	1621
153	294	1619
154	296	1619
155	299	1618
156	300	1615
157	302	1610
158	304	1608
159	306	1611
160	308	1606
161	310	1605
162	312	1602
163	313	1598
164	315	1596
165	317	1594
166	319	1593
167	320	1589
168	322	1587
169	324	1586
170	326	1584
171	328	1581
172	330	1577
173	331	1573
174	333	1570
175	335	1568
176	337	1567
177	338	1564
178	341	1564
179	342	1560
180	344	1557
181	345	1553
182	347	1550
183	349	1547
184	350	1544
185	352	1542
186	354	1541
187	356	1538
188	357	1536
189	359	1532
190	361	1529
191	362	1527
192	364	1525
193	367	1527
194	369	1526
195	371	1523
196	372	1520
197	374	1518
198	376	1514
199	378	1512
200	380	1511
201	382	1510
202	384	1508
203	385	1505
204	387	1502
205	389	1499
206	390	1496
207	392	1494
208	394	1492
209	396	1490
210	398	1489
211	399	1486
212	401	1483
213	403	1481
214	404	1478
215	406	1476
216	408	1473
217	409	1470
218	411	1468
219	413	1466
220	415	1463
221	417	1462
222	419	1460
223	420	1457
224	422	1454
225	423	1451
226	425	1450
227	427	1449
228	429	1446
229	431	1444
230	433	1441
231	434	1439
232	436	1436
233	437	1432
234	439	1429
235	440	1427
236	443	1426
237	444	1423
238	446	1421
239	448	1419
240	449	1416
241	451	1414
242	453	1412
243	454	1409
244	456	1407
245	458	1406
246	461	1405
247	462	1403
248	464	1400
249	465	1397
250	467	1395
251	469	1393
252	471	1391
253	473	1389
254	474	1387
255	476	1385
256	478	1382
257	479	1379
258	481	1377
259	483	1375
260	485	1373
261	487	1372
262	489	1370
263	490	1368
264	492	1366
265	494	1363
266	495	1361
267	497	1358
268	499	1356
269	500	1354
270	502	1351
271	504	1349
272	505	1347
273	507	1345
274	509	1343
275	511	1341
276	513	1339
277	515	1337
278	516	1336
279	518	1334
280	520	1332
281	522	1330
282	524	1329
283	526	1326
284	528	1325
285	530	1323
286	532	1321
287	534	1320
288	535	1318
289	537	1316
290	539	1314
291	541	1312
292	543	1312
293	546	1311
294	548	1310
295	550	1308
296	551	1306
297	553	1304
298	556	1305
299	558	1303
300	560	1301
301	562	1299
302	564	1299
303	566	1297
304	568	1294
305	570	1293
306	572	1292
307	574	1291
308	576	1289
309	578	1288
310	580	1285
311	582	1283
312	583	1281
313	585	1278
314	586	1276
315	588	1273
316	590	1272
317	592	1270
318	594	1268
319	595	1265
320	597	1263
321	599	1261
322	600	1259
323	602	1257
324	604	1255
325	606	1253
326	608	1251
327	609	1249
328	611	1247
329	612	1244
330	614	1241
331	615	1239
332	617	1237
333	619	1236
334	621	1233
335	623	1231
336	624	1229
337	626	1226
338	627	1224
339	629	1221
340	630	1219
341	633	1218
342	634	1215
343	636	1213
344	638	1211
345	639	1208
346	641	1206
347	642	1203
348	644	1201
349	645	1199
350	647	1196
351	649	1194
352	651	1193
353	652	1190
354	654	1188
355	655	1186
356	657	1183
357	659	1182
358	661	1181
359	663	1179
360	665	1177
361	666	1175
362	668	1173
363	670	1170
364	671	1168
365	673	1166
366	674	1164
367	676	1161
368	677	1159
369	679	1157
370	681	1155
371	683	1153
372	684	1151
373	687	1150
374	688	1147
375	690	1145
376	691	1142
377	693	1140
378	695	1140
379	697	1138
380	699	1136
381	700	1133
382	702	1132
383	704	1129
384	705	1127
385	707	1125
386	709	1123
387	711	1122
388	712	1119
389	714	1117
390	715	1115
391	717	1112
392	718	1110
393	720	1108
394	722	1106
395	724	1104
396	726	1103
397	727	1100
398	729	1098
399	730	1096
400	732	1094
401	734	1091
402	735	1089
403	737	1087
404	739	1086
405	741	1085
406	743	1082
407	744	1080
408	745	1077
409	747	1075
410	749	1073
411	750	1071
412	752	1069
413	754	1068
414	756	1066
415	758	1064
416	760	1062
417	761	1060
418	763	1058
419	764	1055
420	766	1053
421	767	1051
422	769	1050
423	771	1048
424	773	1046
425	774	1044
426	776	1041
427	777	1039
428	779	1037
429	781	1035
430	783	1034
431	785	1032
432	787	1031
433	789	1029
434	790	1027
435	792	1025
436	793	1022
437	795	1020
438	797	1019
439	799	1017
440	801	1015
441	802	1013
442	804	1011
443	806	1009
444	807	1007
445	809	1005
446	811	1003
447	813	1001
448	814	999
449	816	997
450	817	995
451	819	993
452	820	991
453	822	988
454	823	986
455	825	984
456	826	982
457	828	980
458	830	978
459	831	976
460	833	974
461	834	972
